Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_578.jpg;0;0;0;0;103.0588;176.0276;0.0002468588;282.1906;1.41017E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_645.jpg;0;0;0;0;103.0588;176.0276;0.0002486967;282.1906;1.322122E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_709.jpg;0;0;0;0;103.0588;176.0276;0.0002499616;282.1906;1.300565E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_776.jpg;0;0;0;0;103.0588;176.0276;0.000250986;282.1906;1.254744E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_846.jpg;0;0;0;0;103.0588;176.0276;0.0002517428;282.1906;1.159458E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_913.jpg;0;0;0;0;103.0588;176.0276;0.0002520667;282.1906;1.060745E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_53_979.jpg;0;0;0;0;103.0588;176.0276;0.0002519463;282.1906;9.479943E-06
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_046.jpg;0;0.1986527;0;0;103.0591;176.0266;0.02372256;282.2914;8.78474E-06
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_112.jpg;0;0.3991237;0;0.0118725;103.0593;176.0253;0.05111817;282.3232;3.23346E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_179.jpg;0;0.60086;0;0.04460355;103.0602;176.0216;0.1268497;282.2186;0.000364418
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_246.jpg;0;0.7997824;0;0.07775302;103.0622;176.012;0.3205753;282.0815;0.0007627187
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_313.jpg;0;1;0;0.121484;103.0646;176.0006;0.5268474;282.0366;-0.0006747365
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_379.jpg;0;1;0;0.1868981;103.0678;175.9855;0.7685008;281.9065;7.752694E-05
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_446.jpg;0;1;0;0.2351326;103.073;175.9604;1.114483;281.6909;0.000710901
